Difficulty,Title,Frequency,Link,Topics,Companies
MEDIUM,Longest Palindrome by Concatenating Two Letter Words,51.8,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting",Microsoft
MEDIUM,Permutations,51.8,https://leetcode.com/problems/permutations,"Array, Backtracking",Microsoft
MEDIUM,Zero Array Transformation III,51.8,https://leetcode.com/problems/zero-array-transformation-iii,"Array, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",Microsoft
MEDIUM,Design Tic-Tac-Toe,51.8,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation","Microsoft, Meta"
EASY,Merge Two Binary Trees,51.8,https://leetcode.com/problems/merge-two-binary-trees,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Microsoft
EASY,Max Consecutive Ones,51.8,https://leetcode.com/problems/max-consecutive-ones,Array,Microsoft
MEDIUM,IP to CIDR,100.0,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation",Databricks
MEDIUM,Minimum Remove to Make Valid Parentheses,100.0,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack",Meta
EASY,Valid Word Abbreviation,97.3,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String","Meta, Datadog"
MEDIUM,Binary Tree Vertical Order Traversal,96.7,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree",Meta
MEDIUM,Basic Calculator II,91.4,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",Meta
